STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,age,Age class,isced11,International Standard Classification of Education (ISCED 2011),wstatus,Labour force and employment status,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CY,Cyprus,2023,,2.0,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CY,Cyprus,2024,,1.7,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CZ,Czechia,2010,,9.3,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CZ,Czechia,2011,,8.5,,b,break in time series,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CZ,Czechia,2012,,8.3,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CZ,Czechia,2013,,6.9,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CZ,Czechia,2014,,7.0,,b,break in time series,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CZ,Czechia,2015,,7.0,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CZ,Czechia,2016,,8.1,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CZ,Czechia,2017,,10.1,,,,,
